Time              Temp     RH       SW        V      NET
2016-09-11_00     27.4     46      0.0      6.0     19.2
2016-09-11_01     26.4     45      0.0      4.7     18.2
2016-09-11_02     25.4     53      0.0      3.6     17.7
2016-09-11_03     23.8     63      0.0      2.6     16.7
2016-09-11_04     23.8     73     27.0      2.4     17.2
2016-09-11_05     26.6     61    241.2      2.9     19.9
2016-09-11_06     28.8     47    463.1      2.5     22.0
2016-09-11_07     30.9     37    657.1      2.8     23.6
2016-09-11_08     32.6     31    778.4      2.9     24.8
2016-09-11_09     33.9     27    868.2      3.4     25.8
2016-09-11_10     34.5     25    890.1      4.0     26.3
2016-09-11_11     34.4     29    837.5      4.8     26.4
2016-09-11_12     33.8     33    716.1      5.4     26.1
2016-09-11_13     32.8     38    543.4      5.8     25.3
2016-09-11_14     31.5     44    331.3      5.8     24.2
2016-09-11_15     29.8     51    144.6      6.1     22.5
2016-09-11_16     27.9     62      0.0      5.9     20.6
2016-09-11_17     26.8     68      0.0      5.5     19.6
2016-09-11_18     26.3     71      0.0      4.7     19.2
2016-09-11_19     25.6     74      0.0      4.8     18.5
2016-09-11_20     25.1     80      0.0      4.6     18.0
2016-09-11_21     24.6     81      0.0      4.5     17.4
2016-09-11_22     24.2     85      0.0      4.5     17.0
2016-09-11_23     23.8     87      0.0      4.4     16.5
2016-09-12_00     23.4     89      0.0      4.5     16.0
2016-09-12_01     23.2     87      0.0      4.3     15.6
2016-09-12_02     22.7     88      0.0      3.9     15.2
2016-09-12_03     22.4     86      0.0      3.5     15.0
2016-09-12_04     22.5     83     27.4      3.1     15.3
2016-09-12_05     24.4     72    242.9      3.0     17.6
2016-09-12_06     25.9     66    465.9      2.6     19.5
2016-09-12_07     27.2     56    628.1      1.9     21.0
2016-09-12_08     28.4     46    777.3      1.3     22.3
2016-09-12_09     29.5     41    863.2      0.9     23.4
2016-09-12_10     30.4     38    880.4      0.9     24.0
2016-09-12_11     31.1     37    825.8      1.2     24.5
2016-09-12_12     30.6     44    123.8      3.1     23.6
2016-09-12_13     29.7     54    173.0      4.3     22.9
2016-09-12_14     28.2     61      9.7      2.3     22.2
2016-09-12_15     27.7     62      0.1      2.4     21.6
2016-09-12_16     26.9     66      0.0      4.6     19.9
2016-09-12_17     26.1     71      0.0      4.6     19.0
