Time              Temp     RH       SW        V      NET
2016-09-11_00     28.2     55      0.0      0.7     23.4
2016-09-11_01     26.0     64      0.0      0.4     22.4
2016-09-11_02     25.1     61      0.0      1.0     20.1
2016-09-11_03     24.7     56      0.0      0.4     20.7
2016-09-11_04     24.7     54     28.4      0.9     19.3
2016-09-11_05     27.0     51    242.5      1.2     21.2
2016-09-11_06     29.7     57    463.7      0.6     25.2
2016-09-11_07     28.7     64    656.5      2.5     22.9
2016-09-11_08     29.0     65    776.0      3.4     23.0
2016-09-11_09     29.5     63    863.9      4.6     23.2
2016-09-11_10     29.7     62    885.8      5.3     23.2
2016-09-11_11     30.5     55    835.3      5.9     23.7
2016-09-11_12     31.8     45    718.7      6.3     24.6
2016-09-11_13     32.7     40    544.3      6.4     25.3
2016-09-11_14     32.9     44    328.7      5.8     26.0
2016-09-11_15     33.4     40    140.8      2.7     26.6
2016-09-11_16     31.3     48      0.0      5.5     24.3
2016-09-11_17     29.5     56      0.0      5.3     22.5
2016-09-11_18     28.4     61      0.0      5.1     21.5
2016-09-11_19     27.6     63      0.0      5.6     20.5
2016-09-11_20     27.0     64      0.0      5.4     19.8
2016-09-11_21     26.3     65      0.0      4.7     19.1
2016-09-11_22     25.8     67      0.0      5.2     18.2
2016-09-11_23     25.2     70      0.0      5.2     17.6
2016-09-12_00     24.7     72      0.0      4.8     17.1
2016-09-12_01     24.3     73      0.0      5.2     16.5
2016-09-12_02     24.0     74      0.0      5.3     16.1
2016-09-12_03     23.7     74      0.0      4.6     15.8
2016-09-12_04     23.8     73     28.8      4.4     16.1
2016-09-12_05     26.1     61    244.6      4.1     18.8
2016-09-12_06     28.5     53    467.9      0.4     24.1
2016-09-12_07     27.4     58    629.9      2.9     20.8
2016-09-12_08     27.4     60    779.6      4.1     20.4
2016-09-12_09     27.0     71    867.1      4.9     20.2
2016-09-12_10     28.0     55    887.9      4.2     20.9
2016-09-12_11     29.2     59    827.1      6.8     22.1
2016-09-12_12     29.3     56    707.9      8.0     22.0
2016-09-12_13     29.3     55    534.2      8.2     21.8
2016-09-12_14     29.0     59    324.3      9.0     21.5
2016-09-12_15     29.1     59    135.2      7.8     21.9
2016-09-12_16     27.7     67      0.0      4.8     21.0
2016-09-12_17     27.6     68      0.0      2.9     21.5
2016-09-12_18     27.6     65      0.0      2.0     21.9
2016-09-12_19     26.5     69      0.0      1.0     22.0
2016-09-12_20     25.8     72      0.0      0.3     22.9
2016-09-12_21     25.1     74      0.0      0.3     22.4
2016-09-12_22     24.5     74      0.0      0.2     22.3
